Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
6.30957344480190e+02	(-2.08151558377443e+01dB,8.71783985302551e+01°)
6.45654229034652e+02	(-2.10156603361897e+01dB,8.70926307706316e+01°)
6.60693448007592e+02	(-2.12161895648269e+01dB,8.70053370686000e+01°)
6.76082975391978e+02	(-2.14167446317623e+01dB,8.69164722543615e+01°)
6.91830970918933e+02	(-2.16173266985198e+01dB,8.68259904039121e+01°)
7.07945784384134e+02	(-2.18179369823722e+01dB,8.67338448202817e+01°)
7.24435960074986e+02	(-2.20185767587773e+01dB,8.66399880147526e+01°)
7.41310241300914e+02	(-2.22192473639238e+01dB,8.65443716880758e+01°)
7.58577575029180e+02	(-2.24199501973912e+01dB,8.64469467117027e+01°)
7.76247116628688e+02	(-2.26206867249269e+01dB,8.63476631090534e+01°)
7.94328234724277e+02	(-2.28214584813463e+01dB,8.62464700368447e+01°)
8.12830516164095e+02	(-2.30222670735581e+01dB,8.61433157665016e+01°)
8.31763771102666e+02	(-2.32231141837225e+01dB,8.60381476656817e+01°)
8.51138038202372e+02	(-2.34240015725438e+01dB,8.59309121799396e+01°)
8.70963589956076e+02	(-2.36249310827041e+01dB,8.58215548145667e+01°)
8.91250938133741e+02	(-2.38259046424423e+01dB,8.57100201166388e+01°)
9.12010839355905e+02	(-2.40269242692833e+01dB,8.55962516573130e+01°)
9.33254300796986e+02	(-2.42279920739221e+01dB,8.54801920144124e+01°)
9.54992586021431e+02	(-2.44291102642694e+01dB,8.53617827553456e+01°)
9.77237220955805e+02	(-2.46302811496608e+01dB,8.52409644204092e+01°)
9.99999999999994e+02	(-2.48315071452381e+01dB,8.51176765065254e+01°)
1.02329299228075e+03	(-2.50327907765052e+01dB,8.49918574514717e+01°)
1.04712854805089e+03	(-2.52341346840655e+01dB,8.48634446186634e+01°)
1.07151930523760e+03	(-2.54355416285444e+01dB,8.47323742825547e+01°)
1.09647819614318e+03	(-2.56370144957036e+01dB,8.45985816147285e+01°)
1.12201845430196e+03	(-2.58385563017504e+01dB,8.44620006707507e+01°)
1.14815362149688e+03	(-2.60401701988484e+01dB,8.43225643778703e+01°)
1.17489755493952e+03	(-2.62418594808330e+01dB,8.41802045236513e+01°)
1.20226443461741e+03	(-2.64436275891376e+01dB,8.40348517456295e+01°)
1.23026877081237e+03	(-2.66454781189329e+01dB,8.38864355220945e+01°)
1.25892541179416e+03	(-2.68474148254855e+01dB,8.37348841641008e+01°)
1.28824955169313e+03	(-2.70494416307369e+01dB,8.35801248088223e+01°)
1.31825673855640e+03	(-2.72515626301094e+01dB,8.34220834143706e+01°)
1.34896288259165e+03	(-2.74537820995378e+01dB,8.32606847562039e+01°)
1.38038426460288e+03	(-2.76561045027324e+01dB,8.30958524252645e+01°)
1.41253754462275e+03	(-2.78585344986734e+01dB,8.29275088279873e+01°)
1.44543977074592e+03	(-2.80610769493379e+01dB,8.27555751883349e+01°)
1.47910838816820e+03	(-2.82637369276593e+01dB,8.25799715520202e+01°)
1.51356124843620e+03	(-2.84665197257190e+01dB,8.24006167930889e+01°)
1.54881661891247e+03	(-2.86694308631686e+01dB,8.22174286230445e+01°)
1.58489319246110e+03	(-2.88724760958784e+01dB,8.20303236027063e+01°)
1.62181009735892e+03	(-2.90756614248100e+01dB,8.18392171570052e+01°)
1.65958690743755e+03	(-2.92789931051063e+01dB,8.16440235929273e+01°)
1.69824365246173e+03	(-2.94824776553912e+01dB,8.14446561208328e+01°)
1.73780082874936e+03	(-2.96861218672720e+01dB,8.12410268793832e+01°)
1.77827941003891e+03	(-2.98899328150322e+01dB,8.10330469643243e+01°)
1.81970085860997e+03	(-3.00939178655019e+01dB,8.08206264613845e+01°)
1.86208713666286e+03	(-3.02980846880926e+01dB,8.06036744835559e+01°)
1.90546071796323e+03	(-3.05024412649760e+01dB,8.03820992130422e+01°)
1.94984459975803e+03	(-3.07069959013887e+01dB,8.01558079481639e+01°)
1.99526231496887e+03	(-3.09117572360391e+01dB,7.99247071555275e+01°)
2.04173794466952e+03	(-3.11167342515896e+01dB,7.96887025277722e+01°)
2.08929613085403e+03	(-3.13219362851834e+01dB,7.94476990472208e+01°)
2.13796208950222e+03	(-3.15273730389850e+01dB,7.92016010557704e+01°)
2.18776162394954e+03	(-3.17330545906932e+01dB,7.89503123313699e+01°)
2.23872113856832e+03	(-3.19389914039871e+01dB,7.86937361714363e+01°)
2.29086765276776e+03	(-3.21451943388566e+01dB,7.84317754835729e+01°)
2.34422881531991e+03	(-3.23516746617674e+01dB,7.81643328839578e+01°)
2.39883291901947e+03	(-3.25584440556013e+01dB,7.78913108037740e+01°)
2.45470891568501e+03	(-3.27655146293110e+01dB,7.76126116040594e+01°)
2.51188643150956e+03	(-3.29728989272193e+01dB,7.73281376993529e+01°)
2.57039578276885e+03	(-3.31806099378889e+01dB,7.70377916905131e+01°)
2.63026799189536e+03	(-3.33886611024795e+01dB,7.67414765070836e+01°)
2.69153480392690e+03	(-3.35970663225042e+01dB,7.64390955595704e+01°)
2.75422870333815e+03	(-3.38058399668905e+01dB,7.61305529019892e+01°)
2.81838293126443e+03	(-3.40149968782388e+01dB,7.58157534050261e+01°)
2.88403150312658e+03	(-3.42245523781706e+01dB,7.54946029401380e+01°)
